corpusid,arxiv_id,title,year,venue,citationcount,referencecount,influentialcitationcount,equations,figures,font,pages,paragraphs,content_references,tables,words,sections,subsections,subsubsections
253523007,2211.08422,Mechanistic Mode Connectivity,2022,International Conference on Machine Learning,22,127,0,42,130,NimbusRomNo9L,40,4,206,10,24772,19,11,0
246441904,2202.00628,Regret Minimization with Performative Feedback,2022,International Conference on Machine Learning,25,44,3,134,12,Kp,36,15,94,0,15390,12,23,0
253224120,2210.16114,Towards Reliable Neural Specifications,2022,International Conference on Machine Learning,3,29,1,0,0,NimbusRomNo9L,19,0,3,0,9808,0,1,0
249889240,2206.09909,Low-Precision Stochastic Gradient Langevin Dynamics,2022,International Conference on Machine Learning,8,54,0,124,16,NimbusRomNo9L,21,7,140,6,11601,15,12,2
253522998,2211.08411,Large Language Models Struggle to Learn Long-Tail Knowledge,2022,International Conference on Machine Learning,109,42,8,0,0,NimbusRomNo9L,12,0,0,0,7726,0,0,0
246411268,2201.12320,Generative Cooperative Networks for Natural Language Generation,2022,International Conference on Machine Learning,10,38,1,42,8,NimbusRomNo9L,13,7,80,2,8344,7,7,2
258823491,2211.02590,Modeling Temporal Data as Continuous Functions with Stochastic Process Diffusion,2022,International Conference on Machine Learning,8,57,2,0,0,NimbusRomNo9L,19,0,0,0,12108,0,0,0
252967809,2210.09643,Improving Adversarial Robustness Through the Contrastive-Guided Diffusion Process,2022,International Conference on Machine Learning,2,64,0,54,35,NimbusRomNo9L,25,18,124,24,14886,14,20,0
250113745,2206.14354,Hardness and Algorithms for Robust and Sparse Optimization,2022,International Conference on Machine Learning,5,66,0,45,4,CMR10,25,5,69,2,13700,9,5,0
250072829,2206.13497,Robustness Implies Generalization via Data-Dependent Generalization Bounds,2022,International Conference on Machine Learning,13,58,1,151,87,NimbusRomNo9L,30,2,150,0,17463,15,17,2
256389907,2208.13764,Temporal Label Smoothing for Early Event Prediction,2022,International Conference on Machine Learning,0,55,0,52,68,NimbusRomNo9L,26,45,211,22,14538,11,28,0
246411597,2201.11927,Constrained Variational Policy Optimization for Safe Reinforcement Learning,2022,International Conference on Machine Learning,42,46,7,0,0,NimbusRomNo9L,25,0,0,0,13616,6,0,0
246863387,2202.07600,Bayesian Imitation Learning for End-to-End Mobile Manipulation,2022,International Conference on Machine Learning,5,54,0,0,0,NimbusRomNo9L,15,0,1,0,8025,0,0,0
249712553,2206.08119,Learning to Infer Structures of Network Games,2022,International Conference on Machine Learning,5,45,0,34,32,NimbusRomNo9L,19,15,96,8,11296,12,9,0
246430501,2201.13100,Adversarial Masking for Self-Supervised Learning,2022,International Conference on Machine Learning,54,42,6,0,0,NimbusRomNo9L,15,1,0,0,9530,0,0,0
246634044,2202.02981,Neural Tangent Kernel Analysis of Deep Narrow Neural Networks,2022,International Conference on Machine Learning,6,0,0,553,15,NimbusRomNo9L,70,5,69,2,32419,21,19,0
250360893,2209.00189,Federated Learning with Label Distribution Skew via Logits Calibration,2022,International Conference on Machine Learning,58,59,8,16,21,NimbusRomNo9L,11,18,55,14,8652,7,6,0
248392126,2204.12055,Faster Fundamental Graph Algorithms via Learned Predictions,2022,International Conference on Machine Learning,27,87,2,0,0,CMR10,25,0,1,0,13851,1,0,0
246867098,2202.07757,Architecture Agnostic Federated Learning for Neural Networks,2022,International Conference on Machine Learning,24,45,3,12,0,NimbusRomNo9L,11,0,0,0,7631,6,0,0
249889318,2206.10588,Robust SDE-Based Variational Formulations for Solving Linear PDEs via Deep Learning,2022,International Conference on Machine Learning,9,49,0,222,45,NimbusRomNo9L,18,0,112,2,13104,12,8,0
