corpusid,arxiv_id,title,authors,filename,year,venue,citationcount,referencecount,influentialcitationcount,content_references,equations,figures,font,pages,paragraphs,sections,subsections,subsubsections,tables,words
211132545,2002.06742,(Individual) Fairness for k-Clustering,"[{'authorId': '145700959', 'name': 'S. Mahabadi'}, {'authorId': '2347383', 'name': 'A. Vakilian'}]",Individual Fairness for k-Clustering,2020,International Conference on Machine Learning,71,54,5,1,0,0,CMMI10,27,0,0,0,0,0,12601
235422375,2106.06854,A Deep Reinforcement Learning Approach to Marginalized Importance Sampling with the Successor Representation,"[{'authorId': '14637819', 'name': 'Scott Fujimoto'}, {'authorId': '2462512', 'name': 'D. Meger'}, {'authorId': '144368601', 'name': 'Doina Precup'}]",A Deep Reinforcement Learning Approach to Marginalized Importance Sampling with the Successor Representation,2021,International Conference on Machine Learning,8,81,0,204,124,43,NimbusRomNo9L,28,0,12,21,0,6,16720
256358894,2205.15434,A Game-Theoretic Framework for Managing Risk in Multi-Agent Systems,"[{'authorId': '2050145993', 'name': 'Oliver Slumbers'}, {'authorId': '41127915', 'name': 'D. Mguni'}, {'authorId': '51199962', 'name': 'Stefano B. Blumberg'}, {'authorId': '143953836', 'name': 'S. McAleer'}, {'authorId': '47796324', 'name': 'Yaodong Yang'}, {'authorId': '48094081', 'name': 'Jun Wang'}]",A Game-Theoretic Framework for Managing Risk in Multi-Agent Systems,2022,International Conference on Machine Learning,2,69,0,91,82,39,NimbusRomNo9L,26,0,17,16,8,2,12201
246823084,2202.05780,A Modern Self-Referential Weight Matrix That Learns to Modify Itself,"[{'authorId': '2350348', 'name': 'Kazuki Irie'}, {'authorId': '35328044', 'name': 'Imanol Schlag'}, {'authorId': '2258963332', 'name': ""R'obert Csord'as""}, {'authorId': '145341374', 'name': 'J. Schmidhuber'}]",A Modern Self-Referential Weight Matrix That Learns to Modify Itself,2022,International Conference on Machine Learning,20,76,0,212,6,23,NimbusRomNo9L,18,24,11,10,0,20,12136
228064556,2012.05199,A Riemannian Block Coordinate Descent Method for Computing the Projection Robust Wasserstein Distance,"[{'authorId': '14252014', 'name': 'Minhui Huang'}, {'authorId': '51152107', 'name': 'Shiqian Ma'}, {'authorId': '144637362', 'name': 'L. Lai'}]",A Riemannian Block Coordinate Descent Method for Computing the Projection Robust Wasserstein Distance,2020,International Conference on Machine Learning,34,34,5,70,75,26,CMR10,33,5,10,3,1,26,13523
258762242,2205.10505,A Study on Transformer Configuration and Training Objective,"[{'authorId': '2144332771', 'name': 'Fuzhao Xue'}, {'authorId': '2167470287', 'name': 'Jianghai Chen'}, {'authorId': '1735962', 'name': 'Aixin Sun'}, {'authorId': '153457264', 'name': 'Xiaozhe Ren'}, {'authorId': '2109654065', 'name': 'Zangwei Zheng'}, {'authorId': '2154302372', 'name': 'Xiaoxin He'}, {'authorId': '2217759166', 'name': 'Yongming Chen'}, {'authorId': '145820291', 'name': 'Xin Jiang'}, {'authorId': '2054451943', 'name': 'Yang You'}]",A Study on Transformer Configuration and Training Objective,2022,International Conference on Machine Learning,3,43,0,136,8,22,NimbusRomNo9L,13,0,11,6,0,12,8357
231986314,2102.10707,A Zeroth-Order Block Coordinate Descent Algorithm for Huge-Scale Black-Box Optimization,"[{'authorId': '30104645', 'name': 'HanQin Cai'}, {'authorId': '1380902689', 'name': 'Y. Lou'}, {'authorId': '144913918', 'name': 'Daniel Mckenzie'}, {'authorId': '6833606', 'name': 'W. Yin'}]",A Zeroth-Order Block Coordinate Descent Algorithm for Huge-Scale Black-Box Optimization,2021,International Conference on Machine Learning,28,57,2,160,76,38,NimbusRomNo9L,17,7,12,13,0,16,12045
67856791,1902.08480,AReS and MaRS - Adversarial and MMD-Minimizing Regression for SDEs,"[{'authorId': '39859136', 'name': 'G. Abbati'}, {'authorId': '41023002', 'name': 'Philippe Wenk'}, {'authorId': '153125952', 'name': 'Stefan Bauer'}, {'authorId': '144484861', 'name': 'Michael A. Osborne'}, {'authorId': '153243248', 'name': 'A. Krause'}, {'authorId': '1707625', 'name': 'B. Scholkopf'}]",AReS and MaRS - Adversarial and MMD-Minimizing Regression for SDEs,2019,International Conference on Machine Learning,15,37,1,98,88,6,NimbusRomNo9L,12,0,7,20,6,6,7607
211505684,2002.11364,Acceleration for Compressed Gradient Descent in Distributed and Federated Optimization,"[{'authorId': '2109714604', 'name': 'Zhize Li'}, {'authorId': '152307988', 'name': 'D. Kovalev'}, {'authorId': '49258493', 'name': 'Xun Qian'}, {'authorId': '2662221', 'name': 'Peter Richtárik'}]",Acceleration for Compressed Gradient Descent in Distributed and Federated Optimization,2020,International Conference on Machine Learning,124,32,10,72,121,40,Unknown,23,3,9,21,0,2,12948
249712028,2206.08061,Active Nearest Neighbor Regression Through Delaunay Refinement,"[{'authorId': '2170532783', 'name': 'Alexander Kravberg'}, {'authorId': '33290210', 'name': 'G. Marchetti'}, {'authorId': '2154412561', 'name': 'Vladislav Polianskii'}, {'authorId': '47248552', 'name': 'Anastasiia Varava'}, {'authorId': '1881469', 'name': 'Florian T. Pokorny'}, {'authorId': '1731490', 'name': 'D. Kragic'}]",Active Nearest Neighbor Regression Through Delaunay Refinement,2022,International Conference on Machine Learning,0,48,0,58,18,57,NimbusRomNo9L,15,0,6,9,0,4,8903
