,title,authors,filename,referencecount,abstract_length,acronym_presence,content_references,equations,figures,pages,paragraphs,sections,subsections,subsubsections,tables,title_length,words,referencecount_per_page,figures_tables_per_page,equations_per_page,subsections_per_page,citationcount
0,(Individual) Fairness for k-Clustering,8,Individual Fairness for k-Clustering,54,182,False,41,52,48,27,9,11,12,0,2,38,12601,2.0,1.8518518518518519,1.9259259259259258,0.4444444444444444,71
1,A Deep Reinforcement Learning Approach to Marginalized Importance Sampling with the Successor Representation,8,A Deep Reinforcement Learning Approach to Marginalized Importance Sampling with the Successor Representation,81,123,False,204,124,43,28,0,12,21,0,6,108,16720,2.892857142857143,1.75,4.428571428571429,0.75,8
2,A Game-Theoretic Framework for Managing Risk in Multi-Agent Systems,8,A Game-Theoretic Framework for Managing Risk in Multi-Agent Systems,69,228,False,91,82,39,26,0,17,16,8,2,67,12201,2.6538461538461537,1.5769230769230769,3.1538461538461537,0.6153846153846154,2
3,A Modern Self-Referential Weight Matrix That Learns to Modify Itself,8,A Modern Self-Referential Weight Matrix That Learns to Modify Itself,76,165,False,212,6,23,18,24,11,10,0,20,68,12136,4.222222222222222,2.388888888888889,0.3333333333333333,0.5555555555555556,20
4,A Riemannian Block Coordinate Descent Method for Computing the Projection Robust Wasserstein Distance,8,A Riemannian Block Coordinate Descent Method for Computing the Projection Robust Wasserstein Distance,34,226,False,70,75,26,33,5,10,3,1,26,101,13523,1.0303030303030303,1.5757575757575757,2.272727272727273,0.09090909090909091,34
5,A Study on Transformer Configuration and Training Objective,8,A Study on Transformer Configuration and Training Objective,43,142,False,136,8,22,13,0,11,6,0,12,59,8357,3.3076923076923075,2.6153846153846154,0.6153846153846154,0.46153846153846156,3
6,A Zeroth-Order Block Coordinate Descent Algorithm for Huge-Scale Black-Box Optimization,8,A Zeroth-Order Block Coordinate Descent Algorithm for Huge-Scale Black-Box Optimization,57,138,False,160,76,38,17,7,12,13,0,16,87,12045,3.3529411764705883,3.176470588235294,4.470588235294118,0.7647058823529411,28
8,Acceleration for Compressed Gradient Descent in Distributed and Federated Optimization,8,Acceleration for Compressed Gradient Descent in Distributed and Federated Optimization,32,214,False,72,121,40,23,3,9,21,0,2,86,12948,1.391304347826087,1.826086956521739,5.260869565217392,0.9130434782608695,124
10,Adaptive Best-of-Both-Worlds Algorithm for Heavy-Tailed Multi-Armed Bandits,8,Adaptive Best-of-Both-Worlds Algorithm for Heavy-Tailed Multi-Armed Bandits,32,211,False,62,346,0,29,2,14,24,4,2,75,14649,1.103448275862069,0.06896551724137931,11.931034482758621,0.8275862068965517,11
11,Adaptive gradient descent without descent,8,Adaptive gradient descent without descent,46,153,False,43,139,30,22,8,9,10,0,0,41,10752,2.090909090909091,1.3636363636363635,6.318181818181818,0.45454545454545453,75
12,Adversarial Filters of Dataset Biases,8,Adversarial Filters of Dataset Biases,61,28,False,12,0,3,14,0,5,11,4,2,37,9479,4.357142857142857,0.35714285714285715,0.0,0.7857142857142857,188
14,Almost Tune-Free Variance Reduction,8,Almost Tune-Free Variance Reduction,30,153,False,96,122,27,22,0,10,18,0,2,35,11242,1.3636363636363635,1.3181818181818181,5.545454545454546,0.8181818181818182,16
15,An Equivalence Between Data Poisoning and Byzantine Gradient Attacks,8,An Equivalence Between Data Poisoning and Byzantine Gradient Attacks,89,154,False,236,516,158,40,16,42,68,24,4,68,24876,2.225,4.05,12.9,1.7,16
16,Analysis of Minimax Error Rate for Crowdsourcing and Its Application to Worker Clustering Model,8,Analysis of Minimax Error Rate for Crowdsourcing and Its Application to Worker Clustering Model,33,173,False,83,46,18,10,1,8,3,0,6,95,6895,3.3,2.4,4.6,0.3,23
17,Approximate Bayesian Computation with Domain Expert in the Loop,8,Approximate Bayesian Computation with Domain Expert in the Loop,52,125,False,68,30,29,13,17,8,8,0,6,63,8263,4.0,2.6923076923076925,2.3076923076923075,0.6153846153846154,4
18,Associative Memory in Iterated Overparameterized Sigmoid Autoencoders,8,Associative Memory in Iterated Overparameterized Sigmoid Autoencoders,40,125,False,61,386,57,26,0,12,23,0,0,69,12290,1.5384615384615385,2.1923076923076925,14.846153846153847,0.8846153846153846,11
19,AutoIP: A United Framework to Integrate Physics into Gaussian Processes,8,AutoIP A United Framework to Integrate Physics into Gaussian Processes,48,214,False,84,37,27,12,4,9,4,0,10,70,8466,4.0,3.0833333333333335,3.0833333333333335,0.3333333333333333,9
20,"BINOCULARS for efficient, nonmyopic sequential experimental design",8,BINOCULARS for efficient nonmyopic sequential experimental design,41,1,True,98,38,19,13,0,11,4,0,12,66,8072,3.1538461538461537,2.3846153846153846,2.923076923076923,0.3076923076923077,39
21,Bayesian Attention Belief Networks,8,Bayesian Attention Belief Networks,84,168,False,234,22,12,14,0,13,20,17,18,34,10537,6.0,2.142857142857143,1.5714285714285714,1.4285714285714286,21
22,Bayesian Optimization of Composite Functions,8,Bayesian Optimization of Composite Functions,49,167,False,91,104,22,18,0,13,15,0,2,44,10011,2.7222222222222223,1.3333333333333333,5.777777777777778,0.8333333333333334,63
23,Better Training using Weight-Constrained Stochastic Dynamics,8,Better Training using Weight-Constrained Stochastic Dynamics,71,151,False,103,269,32,26,0,11,18,1,10,60,18118,2.730769230769231,1.6153846153846154,10.346153846153847,0.6923076923076923,5
24,Binary Classification from Multiple Unlabeled Datasets via Surrogate Set Classification,8,Binary Classification from Multiple Unlabeled Datasets via Surrogate Set Classification,65,171,False,106,145,23,20,14,8,22,1,12,87,12343,3.25,1.75,7.25,1.1,10
25,Boosted Density Estimation Remastered,8,Boosted Density Estimation Remastered,41,145,False,133,67,14,36,1,8,5,6,2,37,15824,1.1388888888888888,0.4444444444444444,1.8611111111111112,0.1388888888888889,9
26,Breaking the Curse of Many Agents: Provable Mean Embedding Q-Iteration for Mean-Field Reinforcement Learning,8,Breaking the Curse of Many Agents Provable Mean Embedding Q-Iteration for Mean-Field Reinforcement Learning,94,110,False,104,8,0,31,0,8,12,0,0,107,14526,3.032258064516129,0.0,0.25806451612903225,0.3870967741935484,24
28,"Calibration, Entropy Rates, and Memory in Language Models",8,Calibration Entropy Rates and Memory in Language Models,64,1,False,60,107,9,24,10,14,6,1,4,57,9278,2.6666666666666665,0.5416666666666666,4.458333333333333,0.25,30
29,Causal Strategic Linear Regression,8,Causal Strategic Linear Regression,46,165,False,63,32,12,17,7,10,7,0,0,34,10913,2.7058823529411766,0.7058823529411765,1.8823529411764706,0.4117647058823529,60
30,Characterizing Structural Regularities of Labeled Data in Overparameterized Models,8,Characterizing Structural Regularities of Labeled Data in Overparameterized Models,44,156,False,57,10,184,17,0,15,3,0,4,82,10571,2.588235294117647,11.058823529411764,0.5882352941176471,0.17647058823529413,69
31,Closing the convergence gap of SGD without replacement,8,Closing the convergence gap of SGD without replacement,24,156,True,124,242,26,38,2,11,14,3,2,54,17891,0.631578947368421,0.7368421052631579,6.368421052631579,0.3684210526315789,51
32,Combating Label Noise in Deep Learning Using Abstention,8,Combating Label Noise in Deep Learning Using Abstention,41,221,False,90,16,35,14,0,10,6,1,4,55,8931,2.9285714285714284,2.7857142857142856,1.1428571428571428,0.42857142857142855,157
33,Competitive caching with machine learned advice,8,Competitive caching with machine learned advice,41,238,False,60,4,3,28,19,7,16,0,4,47,14764,1.4642857142857142,0.25,0.14285714285714285,0.5714285714285714,299
34,Computationally Efficient PAC RL in POMDPs with Latent Determinism and Conditional Embeddings,8,Computationally Efficient PAC RL in POMDPs with Latent Determinism and Conditional Embeddings,66,178,True,1,208,3,29,5,13,13,0,0,93,13564,2.2758620689655173,0.10344827586206896,7.172413793103448,0.4482758620689655,5
35,Conjugate Energy-Based Models,8,Conjugate Energy-Based Models,61,114,False,113,100,22,19,8,14,13,0,16,29,12234,3.210526315789474,2.0,5.2631578947368425,0.6842105263157895,2
37,Continuous Control with Action Quantization from Demonstrations,8,Continuous Control with Action Quantization from Demonstrations,91,122,False,336,36,66,21,42,26,24,18,44,63,12413,4.333333333333333,5.238095238095238,1.7142857142857142,1.1428571428571428,15
38,Convergence Rates of Variational Inference in Sparse Deep Learning,8,Convergence Rates of Variational Inference in Sparse Deep Learning,84,124,False,140,129,0,38,0,14,11,0,0,66,15008,2.210526315789474,0.0,3.3947368421052633,0.2894736842105263,33
39,Coordinated Attacks against Contextual Bandits: Fundamental Limits and Defense Mechanisms,8,Coordinated Attacks against Contextual Bandits Fundamental Limits and Defense Mechanisms,48,204,False,35,84,14,18,19,11,12,0,0,88,11705,2.6666666666666665,0.7777777777777778,4.666666666666667,0.6666666666666666,5
40,Countering Language Drift with Seeded Iterated Learning,8,Countering Language Drift with Seeded Iterated Learning,65,166,False,158,8,79,20,26,14,7,0,6,55,12211,3.25,4.25,0.4,0.35,61
41,D2: Decentralized Training over Decentralized Data,8,D2 Decentralized Training over Decentralized Data,42,243,False,73,170,6,25,8,7,3,0,0,49,9229,1.68,0.24,6.8,0.12,302
43,Dataset Condensation via Efficient Synthetic-Data Parameterization,8,Dataset Condensation via Efficient Synthetic-Data Parameterization,40,142,False,160,27,28,17,13,14,20,0,28,66,11233,2.3529411764705883,3.2941176470588234,1.588235294117647,1.1764705882352942,73
44,Decomposed Mutual Information Estimation for Contrastive Representation Learning,8,Decomposed Mutual Information Estimation for Contrastive Representation Learning,58,199,False,188,62,7,21,10,10,18,3,16,80,12523,2.761904761904762,1.0952380952380953,2.9523809523809526,0.8571428571428571,24
45,Deep Latent State Space Models for Time-Series Generation,8,Deep Latent State Space Models for Time-Series Generation,58,0,False,28,8,30,19,0,10,14,0,12,57,9750,3.0526315789473686,2.210526315789474,0.42105263157894735,0.7368421052631579,12
46,DeepMDP: Learning Continuous Latent Space Models for Representation Learning,8,DeepMDP Learning Continuous Latent Space Models for Representation Learning,62,156,False,125,106,49,31,0,15,38,4,4,75,17984,2.0,1.7096774193548387,3.4193548387096775,1.2258064516129032,239
47,Density Constrained Reinforcement Learning,8,Density Constrained Reinforcement Learning,54,164,False,66,62,42,16,4,9,18,0,2,42,10371,3.375,2.75,3.875,1.125,31
48,Differentiable Compositional Kernel Learning for Gaussian Processes,8,Differentiable Compositional Kernel Learning for Gaussian Processes,35,133,False,107,116,55,21,0,17,19,2,8,67,11948,1.6666666666666667,3.0,5.523809523809524,0.9047619047619048,68
50,Directed Graph Embeddings in Pseudo-Riemannian Manifolds,8,Directed Graph Embeddings in Pseudo-Riemannian Manifolds,36,120,False,84,50,18,14,6,8,13,10,12,56,9506,2.5714285714285716,2.142857142857143,3.5714285714285716,0.9285714285714286,12
