,referencecount,abstract_length,acronym_presence,content_references,equations,figures,pages,paragraphs,sections,subsections,subsubsections,tables,title_length,words,referencecount_per_page,figures_tables_per_page,equations_per_page,subsections_per_page,citationcount
0,54,182,False,41,52,48,27,9,11,12,0,2,38,12601,2.0,1.8518518518518519,1.9259259259259258,0.4444444444444444,71
1,81,123,False,204,124,43,28,0,12,21,0,6,108,16720,2.892857142857143,1.75,4.428571428571429,0.75,8
2,69,228,False,91,82,39,26,0,17,16,8,2,67,12201,2.6538461538461537,1.5769230769230769,3.1538461538461537,0.6153846153846154,2
3,76,165,False,212,6,23,18,24,11,10,0,20,68,12136,4.222222222222222,2.388888888888889,0.3333333333333333,0.5555555555555556,20
4,34,226,False,70,75,26,33,5,10,3,1,26,101,13523,1.0303030303030303,1.5757575757575757,2.272727272727273,0.09090909090909091,34
5,43,142,False,136,8,22,13,0,11,6,0,12,59,8357,3.3076923076923075,2.6153846153846154,0.6153846153846154,0.46153846153846156,3
6,57,138,False,160,76,38,17,7,12,13,0,16,87,12045,3.3529411764705883,3.176470588235294,4.470588235294118,0.7647058823529411,28
8,32,214,False,72,121,40,23,3,9,21,0,2,86,12948,1.391304347826087,1.826086956521739,5.260869565217392,0.9130434782608695,124
10,32,211,False,62,346,0,29,2,14,24,4,2,75,14649,1.103448275862069,0.06896551724137931,11.931034482758621,0.8275862068965517,11
11,46,153,False,43,139,30,22,8,9,10,0,0,41,10752,2.090909090909091,1.3636363636363635,6.318181818181818,0.45454545454545453,75
12,61,28,False,12,0,3,14,0,5,11,4,2,37,9479,4.357142857142857,0.35714285714285715,0.0,0.7857142857142857,188
14,30,153,False,96,122,27,22,0,10,18,0,2,35,11242,1.3636363636363635,1.3181818181818181,5.545454545454546,0.8181818181818182,16
15,89,154,False,236,516,158,40,16,42,68,24,4,68,24876,2.225,4.05,12.9,1.7,16
16,33,173,False,83,46,18,10,1,8,3,0,6,95,6895,3.3,2.4,4.6,0.3,23
17,52,125,False,68,30,29,13,17,8,8,0,6,63,8263,4.0,2.6923076923076925,2.3076923076923075,0.6153846153846154,4
18,40,125,False,61,386,57,26,0,12,23,0,0,69,12290,1.5384615384615385,2.1923076923076925,14.846153846153847,0.8846153846153846,11
19,48,214,False,84,37,27,12,4,9,4,0,10,70,8466,4.0,3.0833333333333335,3.0833333333333335,0.3333333333333333,9
20,41,1,True,98,38,19,13,0,11,4,0,12,66,8072,3.1538461538461537,2.3846153846153846,2.923076923076923,0.3076923076923077,39
21,84,168,False,234,22,12,14,0,13,20,17,18,34,10537,6.0,2.142857142857143,1.5714285714285714,1.4285714285714286,21
22,49,167,False,91,104,22,18,0,13,15,0,2,44,10011,2.7222222222222223,1.3333333333333333,5.777777777777778,0.8333333333333334,63
23,71,151,False,103,269,32,26,0,11,18,1,10,60,18118,2.730769230769231,1.6153846153846154,10.346153846153847,0.6923076923076923,5
24,65,171,False,106,145,23,20,14,8,22,1,12,87,12343,3.25,1.75,7.25,1.1,10
25,41,145,False,133,67,14,36,1,8,5,6,2,37,15824,1.1388888888888888,0.4444444444444444,1.8611111111111112,0.1388888888888889,9
26,94,110,False,104,8,0,31,0,8,12,0,0,107,14526,3.032258064516129,0.0,0.25806451612903225,0.3870967741935484,24
28,64,1,False,60,107,9,24,10,14,6,1,4,57,9278,2.6666666666666665,0.5416666666666666,4.458333333333333,0.25,30
29,46,165,False,63,32,12,17,7,10,7,0,0,34,10913,2.7058823529411766,0.7058823529411765,1.8823529411764706,0.4117647058823529,60
30,44,156,False,57,10,184,17,0,15,3,0,4,82,10571,2.588235294117647,11.058823529411764,0.5882352941176471,0.17647058823529413,69
31,24,156,True,124,242,26,38,2,11,14,3,2,54,17891,0.631578947368421,0.7368421052631579,6.368421052631579,0.3684210526315789,51
32,41,221,False,90,16,35,14,0,10,6,1,4,55,8931,2.9285714285714284,2.7857142857142856,1.1428571428571428,0.42857142857142855,157
33,41,238,False,60,4,3,28,19,7,16,0,4,47,14764,1.4642857142857142,0.25,0.14285714285714285,0.5714285714285714,299
34,66,178,True,1,208,3,29,5,13,13,0,0,93,13564,2.2758620689655173,0.10344827586206896,7.172413793103448,0.4482758620689655,5
35,61,114,False,113,100,22,19,8,14,13,0,16,29,12234,3.210526315789474,2.0,5.2631578947368425,0.6842105263157895,2
37,91,122,False,336,36,66,21,42,26,24,18,44,63,12413,4.333333333333333,5.238095238095238,1.7142857142857142,1.1428571428571428,15
38,84,124,False,140,129,0,38,0,14,11,0,0,66,15008,2.210526315789474,0.0,3.3947368421052633,0.2894736842105263,33
39,48,204,False,35,84,14,18,19,11,12,0,0,88,11705,2.6666666666666665,0.7777777777777778,4.666666666666667,0.6666666666666666,5
40,65,166,False,158,8,79,20,26,14,7,0,6,55,12211,3.25,4.25,0.4,0.35,61
41,42,243,False,73,170,6,25,8,7,3,0,0,49,9229,1.68,0.24,6.8,0.12,302
43,40,142,False,160,27,28,17,13,14,20,0,28,66,11233,2.3529411764705883,3.2941176470588234,1.588235294117647,1.1764705882352942,73
44,58,199,False,188,62,7,21,10,10,18,3,16,80,12523,2.761904761904762,1.0952380952380953,2.9523809523809526,0.8571428571428571,24
45,58,0,False,28,8,30,19,0,10,14,0,12,57,9750,3.0526315789473686,2.210526315789474,0.42105263157894735,0.7368421052631579,12
46,62,156,False,125,106,49,31,0,15,38,4,4,75,17984,2.0,1.7096774193548387,3.4193548387096775,1.2258064516129032,239
47,54,164,False,66,62,42,16,4,9,18,0,2,42,10371,3.375,2.75,3.875,1.125,31
48,35,133,False,107,116,55,21,0,17,19,2,8,67,11948,1.6666666666666667,3.0,5.523809523809524,0.9047619047619048,68
50,36,120,False,84,50,18,14,6,8,13,10,12,56,9506,2.5714285714285716,2.142857142857143,3.5714285714285716,0.9285714285714286,12
51,68,176,False,134,58,23,19,0,10,17,0,4,80,11469,3.5789473684210527,1.4210526315789473,3.0526315789473686,0.8947368421052632,37
52,64,200,False,139,198,6,23,4,16,4,0,6,55,14197,2.782608695652174,0.5217391304347826,8.608695652173912,0.17391304347826086,11
53,79,158,False,170,24,20,12,0,6,12,0,18,105,9287,6.583333333333333,3.1666666666666665,2.0,1.0,877
54,41,178,False,120,16,12,12,0,7,5,1,6,99,6747,3.4166666666666665,1.5,1.3333333333333333,0.4166666666666667,40
55,17,130,False,26,8,6,5,0,5,6,0,2,75,3693,3.4,1.6,1.6,1.2,17
56,47,164,False,51,8,27,11,0,8,6,0,0,84,7161,4.2727272727272725,2.4545454545454546,0.7272727272727273,0.5454545454545454,540
57,32,171,False,74,112,9,15,0,13,8,0,2,99,10709,2.1333333333333333,0.7333333333333333,7.466666666666667,0.5333333333333333,59
58,75,120,False,288,132,40,32,11,13,24,4,4,44,12436,2.34375,1.375,4.125,0.75,10
59,34,103,False,118,24,46,15,0,19,15,0,16,32,8919,2.2666666666666666,4.133333333333334,1.6,1.0,61
60,43,129,False,22,299,24,31,0,10,18,0,0,61,16375,1.3870967741935485,0.7741935483870968,9.64516129032258,0.5806451612903226,3
61,48,66,False,48,10,143,21,4,8,15,8,0,58,7196,2.2857142857142856,6.809523809523809,0.47619047619047616,0.7142857142857143,209
62,41,183,True,83,0,85,14,0,12,10,0,14,76,7963,2.9285714285714284,7.071428571428571,0.0,0.7142857142857143,2
64,76,233,False,149,340,12,29,11,12,15,0,2,74,16774,2.6206896551724137,0.4827586206896552,11.724137931034482,0.5172413793103449,8
65,32,204,False,34,146,14,17,1,7,16,0,2,57,10025,1.8823529411764706,0.9411764705882353,8.588235294117647,0.9411764705882353,5
66,48,156,True,115,18,83,22,22,10,19,0,18,42,10275,2.1818181818181817,4.590909090909091,0.8181818181818182,0.8636363636363636,41
67,0,1,False,99,461,3,69,1,11,17,6,2,72,30284,0.0,0.07246376811594203,6.681159420289855,0.2463768115942029,42
68,56,132,False,108,49,40,17,10,10,12,0,8,65,10149,3.2941176470588234,2.823529411764706,2.8823529411764706,0.7058823529411765,26
69,17,153,False,39,26,12,9,0,7,13,0,8,43,5796,1.8888888888888888,2.2222222222222223,2.888888888888889,1.4444444444444444,160
70,26,159,False,38,247,46,25,0,12,9,0,0,66,14234,1.04,1.84,9.88,0.36,123
72,46,221,True,109,16,36,10,7,6,2,0,10,67,6732,4.6,4.6,1.6,0.2,56
73,59,180,True,62,38,22,15,4,13,17,3,6,64,11333,3.933333333333333,1.8666666666666667,2.533333333333333,1.1333333333333333,355
75,30,151,False,63,57,30,15,0,12,13,0,6,88,9540,2.0,2.4,3.8,0.8666666666666667,161
78,70,197,False,122,102,23,20,0,18,35,4,26,64,13728,3.5,2.45,5.1,1.75,58
