Topic,Count,Name,Representation,Representative_Docs,citationcount
-1,528,-1_al_et_et al_model,"['al', 'et', 'et al', 'model', 'data', 'learning', 'training', 'models', 'using', '2019']","['Bounding Training Data Reconstruction in Private (Deep) Learning', 'Streaming Submodular Maximization with Differential Privacy', 'Proving the Lottery Ticket Hypothesis Pruning is All You Need']",267
0,654,0_policy_learning_al_et,"['policy', 'learning', 'al', 'et', 'et al', 'algorithm', 'reward', 'state', 'agent', 'function']","['TAM Topology-Aware Margin Loss for Class-Imbalanced Node Classification', 'Improving Out-of-Distribution Robustness via Selective Augmentation', 'Instance-Dependent Regret Analysis of Kernelized Bandits']",132
1,211,1_networks_neural_al_et,"['networks', 'neural', 'al', 'et', 'et al', 'network', 'training', 'learning', 'neural networks', 'deep']","['Provable Self-Play Algorithms for Competitive Reinforcement Learning', 'Head2Toe Utilizing Intermediate Representations for Better Transfer Learning', 'Multi-Objective GFlowNets']",232
2,129,2_adversarial_robust_robustness_attacks,"['adversarial', 'robust', 'robustness', 'attacks', 'attack', 'al', 'et al', 'et', 'training', 'accuracy']","['GRAD-MATCH Gradient Matching based Data Subset Selection for Efficient Deep Model Training', 'Modularity in Reinforcement Learning via Algorithmic Independence in Credit Assignment', 'Signatured Deep Fictitious Play for Mean Field Games with Common Noise']",145
3,104,3_graph_graphs_node_al,"['graph', 'graphs', 'node', 'al', 'nodes', 'et', 'et al', 'networks', 'gnns', 'graph neural']","['Differentially Private Community Detection for Stochastic Block Models', 'Exploiting Shared Representations for Personalized Federated Learning', 'Mitigating Propagation Failures in Physics-informed Neural Networks using Retain-Resample-Release (R3) Sampling']",23
4,65,4_privacy_private_dp_mechanism,"['privacy', 'private', 'dp', 'mechanism', 'data', 'algorithm', 'al', 'et', 'et al', 'differential privacy']","['Unbiased Gradient Estimation in Unrolled Computation Graphs with Persistent Evolution Strategies', 'Offline Reinforcement Learning with Pseudometric Learning', 'Understanding The Robustness in Vision Transformers']",212
5,59,5_convex_convergence_gradient_algorithm,"['convex', 'convergence', 'gradient', 'algorithm', 'optimization', 'stochastic', 'methods', 'lemma', 'method', 'function']","['What Does Rotation Prediction Tell Us about Classifier Accuracy under Varying Testing Environments', 'Towards Explaining Distribution Shifts', 'Cocktail Party Attack Breaking Aggregation-Based Privacy in Federated Learning using Independent Component Analysis']",18
6,52,6_metalearning_fewshot_learning_al,"['metalearning', 'fewshot', 'learning', 'al', 'et al', 'et', 'task', 'set', 'tasks', 'training']","['Backpropagated Neighborhood Aggregation for Accurate Training of Spiking Neural Networks', 'Optimally Controllable Perceptual Lossy Compression', 'Randomized Entity-wise Factorization for Multi-Agent Reinforcement Learning']",71
7,45,7_transport_optimal transport_ot_wasserstein,"['transport', 'optimal transport', 'ot', 'wasserstein', 'distance', 'optimal', 'et', 'al', 'et al', 'sinkhorn']","['Structured World Belief for Reinforcement Learning in POMDP', 'Autoregressive Denoising Diffusion Models for Multivariate Probabilistic Time Series Forecasting', 'On Preemption and Learning in Stochastic Scheduling']",193
8,44,8_attention_transformer_transformers_al,"['attention', 'transformer', 'transformers', 'al', 'et al', 'et', 'selfattention', 'model', 'layer', 'head']","['T-Basis a Compact Representation for Neural Networks', 'Personalized Federated Learning through Local Memorization', 'Elementary superexpressive activations']",76
9,40,9_label_labels_noisy_noise,"['label', 'labels', 'noisy', 'noise', 'loss', 'noisy labels', 'learning', 'et', 'al', 'et al']","['Skew Orthogonal Convolutions', 'Implicit-PDF Non-Parametric Representation of Probability Distributions on the Rotation Manifold', 'Coordinated Attacks against Contextual Bandits Fundamental Limits and Defense Mechanisms']",112
10,39,10_contrastive_learning_contrastive learning_et,"['contrastive', 'learning', 'contrastive learning', 'et', 'et al', 'al', 'representations', 'representation', 'loss', 'data']","['Combining Differentiable PDE Solvers and Graph Neural Networks for Fluid Flow Prediction', ""It's Not What Machines Can Learn, It's What We Cannot Teach"", 'How to Train Your Wide Neural Network Without Backprop An Input-Weight Alignment Perspective']",37
11,37,11_causal_treatment_data_counterfactual,"['causal', 'treatment', 'data', 'counterfactual', 'variables', 'et', 'model', 'al', 'et al', 'intervention']","['Gaussian Process Uniform Error Bounds with Unknown Hyperparameters for Safety-Critical Applications', ""Revisiting Peng's Q(λ) for Modern Reinforcement Learning"", 'Quantifying Ignorance in Individual-Level Causal-Effect Estimates under Hidden Confounding']",68
12,37,12_communication_distributed_local_sgd,"['communication', 'distributed', 'local', 'sgd', 'gradient', 'lemma', 'decentralized', 'al', 'compression', 'et']","['Detached Error Feedback for Distributed SGD with Random Sparsification', 'Function Contrastive Learning of Transferable Meta-Representations', 'Confidence Score for Source-Free Unsupervised Domain Adaptation']",55
