Topic,Count,Name,Representation,Representative_Docs
-1,764,-1_learning_model_data_training,"['learning', 'model', 'data', 'training', 'models', 'neural', 'using', 'set', 'figure', 'networks']","['Zeroth-Order Non-Convex Learning via Hierarchical Dual Averaging', 'Growing Action Spaces', 'Greedy-based Value Representation for Optimal Coordination in Multi-agent Reinforcement Learning', 'GraphOpt Learning Optimization Models of Graph Formation', 'GradientDICE Rethinking Generalized Offline Estimation of Stationary Values']"
0,857,0_policy_learning_reward_state,"['policy', 'learning', 'reward', 'state', 'agent', 'algorithm', 'reinforcement', 'regret', 'action', 'function']","['Maximum Mean Discrepancy Test is Aware of Adversarial Attacks', 'Evaluating the Adversarial Robustness of Adaptive Test-time Defenses', 'Adversarial Robustness Against the Union of Multiple Perturbation Models', 'Adversarial Robustness for Code', 'Adversarial Vulnerability of Randomized Ensembles']"
1,197,1_adversarial_attacks_robustness_attack,"['adversarial', 'attacks', 'robustness', 'attack', 'robust', 'training', 'examples', 'accuracy', 'models', 'data']","['Width Provably Matters in Optimization for Deep Linear Neural Networks', 'On the Impact of the Activation Function on Deep Neural Networks Training', 'Gradient Descent Finds Global Minima of Deep Neural Networks', 'How Powerful are Shallow Neural Networks with Bandlimited Random Weights', 'Implicit Regularization with Polynomial Growth in Deep Tensor Factorization']"
2,116,2_networks_neural_network_deep,"['networks', 'neural', 'network', 'deep', 'training', 'loss', 'initialization', 'layer', 'gradient', 'lemma']","['Optimization of Graph Neural Networks Implicit Acceleration by Skip Connections and More Depth', 'A New Perspective on the Effects of Spectrum in Graph Neural Networks', 'Training Graph Neural Networks with 1000 Layers', 'Bayesian Graph Neural Networks with Adaptive Connection Sampling', ""Let's Agree to Degree Comparing Graph Convolutional Networks in the Message-Passing Framework""]"
3,102,3_graph_graphs_node_nodes,"['graph', 'graphs', 'node', 'nodes', 'gnns', 'networks', 'gnn', 'neural', 'gcn', 'learning']","['Variance Reduction via Primal-Dual Accelerated Dual Averaging for Nonsmooth Convex Finite-Sums', 'On a Combination of Alternating Minimization and Nesterovs Momentum', 'Coordinate Descent Methods for Fractional Minimization', 'Cyclic Block Coordinate Descent With Variance Reduction for Composite Nonconvex Optimization', 'Estimate Sequences for Variance-Reduced Stochastic Composite Optimization']"
4,95,4_convex_convergence_gradient_algorithm,"['convex', 'convergence', 'gradient', 'algorithm', 'stochastic', 'optimization', 'accelerated', 'method', 'methods', 'nonconvex']","['Label Distributionally Robust Losses for Multi-class Classification Consistency, Robustness and Adaptivity', 'From Noisy Prediction to True Label Noisy Prediction Calibration via Generative Model', 'Efficient PAC Learning from the Crowd with Pairwise Comparisons', 'Error-Bounded Correction of Noisy Labels', 'Estimating Instance-dependent Bayes-label Transition Matrix using a Deep Neural Network']"
5,88,5_label_labels_noisy_loss,"['label', 'labels', 'noisy', 'loss', 'noise', 'learning', 'classication', 'data', 'risk', 'class']","['A Neural Tangent Kernel Perspective of GANs', 'Implicit competitive regularization in GANs', 'Non-Parametric Priors For Generative Adversarial Networks', 'Augmented CycleGAN Learning Many-to-Many Mappings from Unpaired Data', 'Multilinear Latent Conditioning for Generating Unseen Attribute Combinations']"
6,81,6_gan_gans_discriminator_generator,"['gan', 'gans', 'discriminator', 'generator', 'generative', 'images', 'training', 'adversarial', 'image', '2017']","['Understanding Clipping for Federated Learning Convergence and Client-Level Differential Privacy', 'New Oracle-Efficient Algorithms for Private Synthetic Data Release', 'Locally Private Hypothesis Testing', 'Leveraging Public Data for Practical Private Query Release', 'Learning-augmented private algorithms for multiple quantile release']"
7,80,7_privacy_private_dp_mechanism,"['privacy', 'private', 'dp', 'mechanism', 'data', 'algorithm', 'differentially', 'differential', 'theorem', 'accuracy']","['A Reductions Approach to Fair Classification', 'Model-Agnostic Characterization of Fairness Trade-offs', 'Understanding Instance-Level Impact of Fairness Constraints', 'Two Simple Ways to Learn Individual Fairness Metrics from Data', 'Testing Group Fairness via Optimal Transport Projections']"
8,56,8_fairness_fair_group_sensitive,"['fairness', 'fair', 'group', 'sensitive', 'groups', 'data', 'attributes', 'classier', 'learning', 'classication']","['XAI for Transformers Better Explanations through Conservative Propagation', 'Transformers are RNNs Fast Autoregressive Transformers with Linear Attention', 'SparseBERT Rethinking the Importance Analysis in Self-attention', 'Which transformer architecture fits my data A vocabulary bottleneck in self-attention', 'Low-Rank Bottleneck in Multi-head Attention Models']"
9,55,9_attention_transformer_transformers_selfattention,"['attention', 'transformer', 'transformers', 'selfattention', 'language', 'layer', 'models', 'model', '2021', 'head']","['Median Matrix Completion from Embarrassment to Optimality', 'Schatten Norms in Matrix Streams Hello Sparsity Goodbye Dimension', 'Input-Sparsity Low Rank Approximation in Schatten Norm', 'Generalized Leverage Scores Geometric Interpretation and Applications', 'Leveraging Well-Conditioned Bases Streaming and Distributed Summaries in Minkowski p-Norms']"
10,52,10_matrix_matrices_algorithm_lemma,"['matrix', 'matrices', 'algorithm', 'lemma', 'regression', 'theorem', 'rank', 'problem', 'lasso', 'probability']","['Continuously Indexed Domain Adaptation', 'On Balancing Bias and Variance in Unsupervised Multi-Source-Free Domain Adaptation', 'Understanding Self-Training for Gradual Domain Adaptation', 'Understanding Gradual Domain Adaptation Improved Analysis, Optimal Path and Beyond', 'Implicit Class-Conditioned Domain Alignment for Unsupervised Domain Adaptation']"
11,52,11_domain_target_adaptation_source,"['domain', 'target', 'adaptation', 'source', 'shift', 'domains', 'distribution', 'data', 'spurious', 'training']","['Bayesian Algorithm Execution Estimating Computable Properties of Black-box Functions Using Mutual Information', 'Optimization fast and slow optimally switching between local and Bayesian optimization', 'Bayesian Optimization of Composite Functions', 'Multi-fidelity Bayesian Optimization with Max-value Entropy Search', 'Multi-objective Bayesian Optimization using Pareto-frontier Entropy']"
12,50,12_optimization_bayesian_function_design,"['optimization', 'bayesian', 'function', 'design', 'acquisition', 'bo', 'functions', 'objective', 'gp', 'problem']","['Validating Causal Inference Methods', 'On the Identifiability and Estimation of Causal Location-Scale Noise Models', 'Causal Inference using Gaussian Processes with Structured Latent Confounders', 'Quantifying Ignorance in Individual-Level Causal-Effect Estimates under Hidden Confounding', 'Classifying Treatment Responders Under Causal Effect Monotonicity']"
13,48,13_causal_treatment_counterfactual_data,"['causal', 'treatment', 'counterfactual', 'data', 'variables', 'effect', 'intervention', 'interventions', 'observational', 'confounding']","['Towards More Efficient Stochastic Decentralized Learning Faster Convergence and Sparse Communication', 'On the Linear Speedup Analysis of Communication Efficient Momentum SGD for Distributed Non-Convex Optimization', 'D2 Decentralized Training over Decentralized Data', 'Decentralized Stochastic Optimization and Gossip Algorithms with Compressed Communication', 'Detached Error Feedback for Distributed SGD with Random Sparsification']"
14,47,14_communication_distributed_sgd_local,"['communication', 'distributed', 'sgd', 'local', 'gradient', 'decentralized', 'compression', 'nnx', 'stochastic', 'convergence']","['Universal Equivariant Multilayer Perceptrons', ""Brauer's Group Equivariant Neural Networks"", 'Equivariance with Learned Canonicalization Functions', 'Equivariant Networks for Pixelized Spheres', 'Provably Strict Generalisation Benefit for Equivariant Models']"
15,46,15_equivariant_group_3d_equivariance,"['equivariant', 'group', '3d', 'equivariance', 'convolution', 'networks', 'groups', 'rotation', 'image', 'point']","['Mirror Sinkhorn Fast Online Optimization on Transport Polytopes', 'Discrete Probabilistic Inverse Optimal Transport', 'Unbalanced minibatch Optimal Transport; applications to Domain Adaptation', 'On Transportation of Mini-batches A Hierarchical Approach', 'On Unbalanced Optimal Transport An Analysis of Sinkhorn Algorithm']"
16,46,16_transport_ot_optimal_wasserstein,"['transport', 'ot', 'optimal', 'wasserstein', 'distance', 'sinkhorn', 'barycenter', 'problem', 'algorithm', 'measures']","['Semi-Implicit Variational Inference', 'Semi-Amortized Variational Autoencoders', 'On the Difficulty of Unbiased Alpha Divergence Minimization', 'Variational Laplace Autoencoders', 'Meta-Learning with Shared Amortized Variational Inference']"
17,44,17_variational_inference_posterior_gradient,"['variational', 'inference', 'posterior', 'gradient', 'distribution', 'ae', 'elbo', 'estimator', 'iwae', 'mcmc']","['YourTTS Towards Zero-Shot Multi-Speaker TTS and Zero-Shot Voice Conversion for everyone', 'Self-supervised Learning with Random-projection Quantizer for Speech Recognition', 'A3T Alignment-Aware Acoustic and Text Pretraining for Speech Synthesis and Editing', 'Almost Unsupervised Text to Speech and Automatic Speech Recognition', 'Fitting New Speakers Based on a Short Untranscribed Sample']"
18,44,18_speech_audio_speaker_model,"['speech', 'audio', 'speaker', 'model', 'tts', 'models', 'speakers', 'text', 'voice', 'acoustic']","['A Langevin-like Sampler for Discrete Distributions', 'Amortized Monte Carlo Integration', 'The Boomerang Sampler', 'LSB Local Self-Balancing MCMC in Discrete Spaces', 'DG-LMC A Turn-key and Scalable Synchronous Distributed MCMC Algorithm']"
19,40,19_posterior_mcmc_bayesian_likelihood,"['posterior', 'mcmc', 'bayesian', 'likelihood', 'sampling', 'carlo', 'monte', 'prior', 'distribution', 'langevin']","['Transformation Autoregressive Networks', 'On Energy-Based Models with Overparametrized Shallow Neural Networks', 'Autoregressive Energy Machines', 'Cutting out the Middle-Man Training and Evaluating Energy-Based Models without Sampling', 'Energy-Based Processes for Exchangeable Data']"
20,40,20_density_normalizing_ows_flows,"['density', 'normalizing', 'ows', 'flows', 'generative', 'models', 'data', 'distribution', 'ow', 'samples']","['Variational Nearest Neighbor Gaussian Processes', 'Scalable Gaussian Processes with Grid-Structured Eigenfunctions GP-GRIEF', 'Bias-Free Scalable Gaussian Processes via Randomized Truncations', 'Efficient Transformed Gaussian Processes for Non-Stationary Dependent Multi-class Classification', 'Inter-domain Deep Gaussian Processes']"
21,39,21_gaussian_gp_inducing_kernel,"['gaussian', 'gp', 'inducing', 'kernel', 'processes', 'points', 'inference', 'process', 'gps', 'kernels']","['Accurate Uncertainties for Deep Learning Using Calibrated Regression', 'Amortized Conditional Normalized Maximum Likelihood', 'Deep Probability Estimation', 'Discriminative Jackknife Quantifying Uncertainty in Deep Learning via Higher-Order Influence Functions', 'Efficient Evaluation-Time Uncertainty Estimation by Improved Distillation']"
22,39,22_uncertainty_bayesian_posterior_deep,"['uncertainty', 'bayesian', 'posterior', 'deep', 'neural', 'model', 'networks', 'data', 'inference', 'variational']","['Generating Counterfactual Explanations with Natural Language', 'On the Relationship Between Explanation and Prediction A Causal View', 'Explainability as statistical inference', 'Knowledge-Grounded Self-Rationalization via Extractive and Natural Language Explanations', 'Label-Free Explainability for Unsupervised Models']"
23,35,23_maximal_improvement_explanations_shapley,"['maximal', 'improvement', 'explanations', 'shapley', 'explanation', 'ig', 'mnlp', 'feature', 'saliency', 'model']","['Equivariant Priors for Compressed Sensing with Unknown Orientation', 'Prior Image-Constrained Reconstruction using Style-Based Generative Models', 'Instance-Optimal Compressed Sensing via Posterior Sampling', 'Near-Exact Recovery for Tomographic Inverse Problems via Deep Learning', 'Improving Robustness of Deep-Learning-Based Image Reconstruction']"
24,35,24_image_sensing_measurements_reconstruction,"['image', 'sensing', 'measurements', 'reconstruction', 'denoising', 'images', 'generative', 'compressed', 'signal', 'inverse']","['Personalized Federated Learning using Hypernetworks', 'Personalized Federated Learning through Local Memorization', 'Anchor Sampling for Federated Learning with Partial Client Participation', 'Orchestra Unsupervised Federated Learning via Globally Consistent Clustering', 'Architecture Agnostic Federated Learning for Neural Networks']"
25,34,25_federated_clients_local_client,"['federated', 'clients', 'local', 'client', 'fl', 'learning', 'global', 'communication', 'fedavg', 'server']","['Regularized Submodular Maximization at Scale', 'Streaming Submodular Maximization under a k-Set System Constraint', 'Deletion Robust Submodular Maximization over Matroids', 'Fast Maximization of Non-Submodular Monotonic Functions on the Integer Lattice', 'From Sets to Multisets Provable Variational Inference for Probabilistic Integer Submodular Models']"
